"Work Item Type","Title 1","Title 2","Title 3","Description","Acceptance Criteria","Story Points","Tags","Priority","State","Area Path","Iteration Path","Assigned To"
"Epic","Persoonlijke Gegevens Inzien En Wijzigen","","","<p>For (Who): inwoner die zijn bij de gemeente bekende gegevens wil controleren en actueel houden</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: inzage in persoons-, contact- en bankgegevens en gecontroleerde mutatie daarvan</p><p>Our solution: read-only inzage in drie tabbladen (Persoonsgegevens, Contactgegevens, Bankrekeningen) verbreed met geverifieerde wijzigingen die in X-Works worden verwerkt</p><p>Success criteria:</p><ul><li>Inwoner ziet minimaal naam, BSN, geboortedatum en verblijfsadres zoals bij ons bekend</li><li>Alle bekende telefoonnummers en bankrekeningen zijn inzichtelijk</li><li>E-mail, telefoon, IBAN en inkomenswijzigingen kunnen geverifieerd worden doorgegeven zonder dubbele registratie</li></ul><p>In scope: inzage en gecontroleerde mutatie van eigen persoonsgegevens (PvE 35/58, geen dubbele registratie PvE 60)</p><p>Out of scope: wijzigingen door derden; goedkeuringsstap nog te bevestigen (ticket #1757, C1)</p>","","","inwonerportaal; inzage; persoonsgegevens; epic-2","1","New","Verius","Verius",""
"Feature","","Persoonsgegevens","","<p>Geeft de inwoner read-only inzage in zijn kerngegevens zodat hij kan controleren of ze kloppen. Toont ook het correspondentieadres als dat afwijkt van het verblijfsadres (bevinding Westerkwartier #2).</p>","<ul><li>Minimaal naam, BSN, geboortedatum en verblijfsadres (straat + postcode/plaats) worden getoond</li><li>Gegevens zijn read-only en herkenbaar afkomstig zoals bij ons bekend</li><li>Een afwijkend en actueel correspondentieadres wordt ook getoond</li><li>Is geen correspondentieadres bekend, dan wordt er geen leeg of foutief veld getoond</li></ul>","","inwonerportaal; inzage; persoonsgegevens; epic-2; persoon","2","New","Verius","Verius",""
"User Story","","","S2.1.1: Persoonsgegevens inzien","<p>Als inwoner</p><p>Ik wil mijn persoonsgegevens inzien</p><p>Zodat ik kan controleren of ze kloppen</p>","<ul><li>Getoond worden minimaal: Naam, BSN, Geboortedatum, Verblijfsadres (straat + postcode/plaats)</li><li>De gegevens zijn read-only en herkenbaar afkomstig zoals bij ons bekend</li><li>De inwoner kan de getoonde persoonsgegevens niet bewerken vanuit dit scherm</li></ul>","2","inwonerportaal; inzage; persoonsgegevens; epic-2; persoon","2","New","Verius","Verius",""
"User Story","","","S2.1.2: Afwijkend correspondentieadres tonen","<p>Als inwoner</p><p>Ik wil mijn correspondentieadres zien als dat afwijkt</p><p>Zodat ik weet waar post heen gaat</p>","<ul><li>Indien een correspondentieadres bekend en actueel is, wordt dit ook getoond onder Persoonsgegevens</li><li>Is geen afwijkend correspondentieadres bekend, dan wordt geen leeg of foutief adresveld getoond</li><li>Bevinding Westerkwartier #2 (#1757) is afgedekt</li></ul>","2","inwonerportaal; inzage; persoonsgegevens; epic-2; persoon","2","New","Verius","Verius",""
"Feature","","Contactgegevens","","<p>Geeft de inwoner inzage in de bij de gemeente bekende contactinformatie via een eigen tabblad. Toont alle bekende telefoonnummers met type (bevinding Eemsdelta/MG #7) zodat de inwoner niet onterecht denkt dat een nummer ontbreekt.</p>","<ul><li>Contactgegevens zijn bereikbaar via een eigen tabblad binnen Persoonlijke gegevens</li><li>Alle bij de gemeente bekende nummers worden getoond, niet alleen het primaire nummer</li><li>Per nummer is het soort/type herkenbaar (vast, mobiel, e.d.)</li><li>Bij ontbreken van nummers wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; persoonsgegevens; epic-2; contact","2","New","Verius","Verius",""
"User Story","","","S2.2.1: Contactgegevens inzien","<p>Als inwoner</p><p>Ik wil mijn contactgegevens inzien</p><p>Zodat ik weet welke contactinformatie de gemeente gebruikt</p>","<ul><li>Contactgegevens zijn bereikbaar via een eigen tabblad binnen Persoonlijke gegevens</li><li>De getoonde contactgegevens zijn herkenbaar afkomstig zoals bij ons bekend</li><li>Bij ontbreken van contactgegevens wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; persoonsgegevens; epic-2; contact","2","New","Verius","Verius",""
"User Story","","","S2.2.2: Alle bekende telefoonnummers tonen","<p>Als inwoner</p><p>Ik wil al mijn bekende telefoonnummers zien</p><p>Zodat ik niet onterecht denk dat een nummer ontbreekt</p>","<ul><li>Alle bij de gemeente bekende nummers worden getoond (bijv. telefoonnummer, GSM/mobiel), niet alleen het primaire nummer</li><li>Per nummer is het soort/type herkenbaar (vast, mobiel, e.d.)</li><li>Zijn er geen nummers bekend, dan wordt dit als lege staat getoond en niet als fout</li><li>Bevinding Eemsdelta/MG #7 is afgedekt</li></ul>","2","inwonerportaal; inzage; persoonsgegevens; epic-2; contact","2","New","Verius","Verius",""
"Feature","","Bankrekeningen","","<p>Geeft de inwoner inzage in zijn bij de gemeente bekende bankrekening(en) via een eigen tabblad, zodat hij kan controleren waarop betalingen plaatsvinden.</p>","<ul><li>Bankrekeningen zijn bereikbaar via een eigen tabblad binnen Persoonlijke gegevens</li><li>Bekende bankrekeningnummers worden inzichtelijk getoond</li><li>Bij ontbreken van een bekende bankrekening wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; persoonsgegevens; epic-2; bank","2","New","Verius","Verius",""
"User Story","","","S2.3.1: Bekende bankrekening(en) inzien","<p>Als inwoner</p><p>Ik wil mijn bekende bankrekening(en) inzien</p><p>Zodat ik kan controleren waarop betalingen plaatsvinden</p>","<ul><li>Bankrekeningen zijn bereikbaar via een eigen tabblad binnen Persoonlijke gegevens</li><li>De getoonde bankrekening(en) zijn herkenbaar afkomstig zoals bij ons bekend</li><li>Is geen bankrekening bekend, dan wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; persoonsgegevens; epic-2; bank","2","New","Verius","Verius",""
"Feature","","Gegevens Wijzigen En Doorgeven","","<p>Verbreedt het portaal van alleen inzage naar gecontroleerde mutatie: de inwoner geeft e-mail, telefoon, IBAN en inkomenswijzigingen geverifieerd door, die zonder dubbele registratie in X-Works worden verwerkt (PvE 35/58/60, bevinding Westerkwartier #1, ticket #1757).</p>","<ul><li>E-mailadres en telefoonnummer zijn zelf te wijzigen vanuit Contactgegevens</li><li>Wijzigingen worden geverifieerd via een verificatiecode (e-mail of sms) voor verwerking</li><li>IBAN en inkomenswijzigingen doorlopen een passende controle voor verwerking in X-Works</li><li>Verwerking gebeurt zonder dubbele registratie</li><li>Een niet-geverifieerde of afgebroken wijziging wordt niet verwerkt</li></ul>","","inwonerportaal; inzage; persoonsgegevens; epic-2; mutatie","2","New","Verius","Verius",""
"User Story","","","S2.4.1: E-mailadres en telefoonnummer zelf wijzigen","<p>Als inwoner</p><p>Ik wil mijn e-mailadres en telefoonnummer zelf kunnen wijzigen</p><p>Zodat mijn contactgegevens actueel blijven</p>","<ul><li>De inwoner kan e-mailadres en telefoonnummer wijzigen vanuit Contactgegevens</li><li>De wijziging wordt geverifieerd via een verificatiecode (per e-mail of sms)</li><li>Na succesvolle verificatie wordt de wijziging (geautomatiseerd) verwerkt in X-Works</li><li>Een onjuiste of niet-ingevoerde verificatiecode leidt niet tot verwerking van de wijziging</li><li>Te bevestigen: wel/geen handmatige goedkeuringsstap (ticket #1757, C1 nog open)</li></ul>","5","inwonerportaal; inzage; persoonsgegevens; epic-2; mutatie","2","New","Verius","Verius",""
"User Story","","","S2.4.2: Bankrekeningnummer (IBAN) doorgeven of wijzigen","<p>Als inwoner</p><p>Ik wil mijn bankrekeningnummer (IBAN) kunnen doorgeven/wijzigen</p><p>Zodat betalingen op het juiste rekeningnummer plaatsvinden</p>","<ul><li>De inwoner kan een gewijzigd IBAN doorgeven vanuit Bankrekeningen</li><li>De wijziging doorloopt een passende controle/verificatie voordat deze in X-Works wordt verwerkt</li><li>Een ongeldig of niet-geverifieerd IBAN wordt niet verwerkt</li></ul>","5","inwonerportaal; inzage; persoonsgegevens; epic-2; mutatie","2","New","Verius","Verius",""
"User Story","","","S2.4.3: Inkomenswijziging doorgeven","<p>Als inwoner</p><p>Ik wil wijzigingen in mijn inkomen kunnen doorgeven</p><p>Zodat mijn dossier actueel blijft</p>","<ul><li>De inwoner kan een inkomenswijziging digitaal doorgeven</li><li>De doorgegeven wijziging leidt tot de juiste verwerking/processtart in de backoffice (bijv. mutatie/heronderzoek)</li><li>De verwerking gebeurt zonder dubbele registratie</li><li>Een onvolledig ingevulde doorgifte kan niet definitief worden verzonden</li></ul>","5","inwonerportaal; inzage; persoonsgegevens; epic-2; mutatie","2","New","Verius","Verius",""
"Epic","Lopende Zaken Volgen","","","<p>For (Who): inwoner die de voortgang van zijn zaken bij de gemeente wil volgen</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: overzicht van lopende en afgehandelde zaken met begrijpelijke status en inzage in besluiten</p><p>Our solution: gepubliceerde zaaktype-processen en statussen tonen met publieksvriendelijke omschrijvingen, gescheiden tabbladen en besluitinzage</p><p>Success criteria:</p><ul><li>Inwoner ziet zaaknummer, onderwerp, ontvangstdatum en status per lopende zaak</li><li>Afgehandelde zaken zijn apart raadpleegbaar</li><li>Status is begrijpelijk en correct, ook bij meerdere zaken van hetzelfde type</li><li>Genomen besluiten zijn in te zien</li></ul><p>In scope: inzage in zaken, status en besluiten (afhankelijk van publicatie via Epic 8)</p><p>Out of scope: zaakinhoudelijke behandeling door de gemeente</p>","","","inwonerportaal; inzage; zaken; epic-3","1","New","Verius","Verius",""
"Feature","","Overzicht Lopende Zaken","","<p>Geeft de inwoner een overzicht van zijn lopende zaken zodat hij de status van zijn aanvragen kan volgen. Alleen door beheer gepubliceerde zaaktype-processen verschijnen, met acceptabele prestaties bij het openen (bevinding Westerkwartier #24, ticket #4144).</p>","<ul><li>Per zaak worden zaaknummer/onderwerp, ontvangstdatum en status getoond</li><li>Het tabblad toont het aantal lopende zaken (bijv. Overzicht (17))</li><li>Alleen door beheer gepubliceerde zaaktype-processen worden getoond</li><li>Het openen van een zaak presteert acceptabel zonder merkbare wachttijd</li><li>Bij geen lopende zaken wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; zaken; epic-3; overzicht","2","New","Verius","Verius",""
"User Story","","","S3.1.1: Overzicht van lopende zaken tonen","<p>Als inwoner</p><p>Ik wil een overzicht van mijn lopende zaken</p><p>Zodat ik de status van mijn aanvragen kan volgen</p>","<ul><li>Per zaak worden getoond: Zaaknummer / Onderwerp, Ontvangen (datum), Status</li><li>Het tabblad toont het aantal lopende zaken (bijv. Overzicht (17))</li><li>Alleen zaken van zaaktype-processen die door beheer zijn gepubliceerd worden getoond (zie Epic 8)</li><li>Het openen van een zaak vanuit het overzicht presteert acceptabel (geen merkbare wachttijd, bevinding Westerkwartier #24, ticket #4144)</li></ul>","3","inwonerportaal; inzage; zaken; epic-3; overzicht","2","New","Verius","Verius",""
"Feature","","Afgehandelde Zaken","","<p>Stelt de inwoner in staat zijn afgehandelde zaken terug te zien onder een apart tabblad, zodat hij zijn historie kan raadplegen los van zijn lopende zaken.</p>","<ul><li>Afgehandelde zaken staan onder een apart tabblad Afgehandeld, met telling</li><li>De telling geeft het juiste aantal afgehandelde zaken weer</li><li>Bij geen afgehandelde zaken wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; zaken; epic-3; historie","2","New","Verius","Verius",""
"User Story","","","S3.2.1: Afgehandelde zaken terugzien","<p>Als inwoner</p><p>Ik wil mijn afgehandelde zaken kunnen terugzien</p><p>Zodat ik mijn historie kan raadplegen</p>","<ul><li>Afgehandelde zaken staan onder een apart tabblad Afgehandeld, met telling</li><li>De telling toont het juiste aantal afgehandelde zaken</li><li>Bij geen afgehandelde zaken wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; zaken; epic-3; historie","2","New","Verius","Verius",""
"Feature","","Zaakstatus Weergave","","<p>Toont per zaak een begrijpelijke, publieksvriendelijke status zodat de inwoner weet waar zijn zaak staat. De status wordt correct per zaak getoond, ook bij meerdere zaken van hetzelfde type (bevinding Westerkwartier #5).</p>","<ul><li>De getoonde status is de meest recente status die door beheer is gepubliceerd</li><li>De status wordt getoond met de generieke (publieksvriendelijke) omschrijving, niet de interne code</li><li>De status wordt per zaak correct getoond, ook bij meerdere zaken van hetzelfde zaaktype</li><li>Niet-gepubliceerde statussen worden niet aan de inwoner getoond</li></ul>","","inwonerportaal; inzage; zaken; epic-3; status","2","New","Verius","Verius",""
"User Story","","","S3.3.1: Begrijpelijke status per zaak tonen","<p>Als inwoner</p><p>Ik wil per zaak een begrijpelijke status zien</p><p>Zodat ik weet waar mijn zaak staat</p>","<ul><li>De getoonde status is de meest recente status die door beheer is gepubliceerd (Publiceren op digitaal loket)</li><li>De status wordt getoond met de generieke (publieksvriendelijke) omschrijving, niet de interne code</li><li>De status wordt per zaak correct getoond, ook wanneer de inwoner meerdere zaken van hetzelfde zaaktype heeft (bevinding Westerkwartier #5)</li><li>Een niet-gepubliceerde status wordt niet getoond</li></ul>","3","inwonerportaal; inzage; zaken; epic-3; status","2","New","Verius","Verius",""
"Feature","","Besluiten Inzien","","<p>Geeft de inwoner inzage in het besluit op zijn aanvraag of zaak zodat hij weet wat er is beslist en waarom (acceptatiecriteria Opmeer/Koggenland, besluit A2). Het besluit is gekoppeld aan de zaak en waar van toepassing als document beschikbaar.</p>","<ul><li>Bij een zaak met een genomen besluit is het besluit voor de inwoner in te zien</li><li>Het besluit is gekoppeld aan de betreffende zaak</li><li>Waar van toepassing is het besluit als document beschikbaar (zie Epic 6)</li><li>Bij een zaak zonder besluit wordt geen besluit getoond</li></ul>","","inwonerportaal; inzage; zaken; epic-3; besluit","2","New","Verius","Verius",""
"User Story","","","S3.4.1: Besluit op aanvraag of zaak inzien","<p>Als inwoner</p><p>Ik wil het besluit op mijn aanvraag/zaak kunnen inzien</p><p>Zodat ik weet wat er is beslist en waarom</p>","<ul><li>Bij een zaak met een genomen besluit is het besluit voor de inwoner in te zien</li><li>Het besluit is gekoppeld aan de betreffende zaak en (waar van toepassing) als document beschikbaar (zie Epic 6)</li><li>Bij een zaak zonder genomen besluit wordt geen besluit getoond</li></ul>","3","inwonerportaal; inzage; zaken; epic-3; besluit","2","New","Verius","Verius",""
"Epic","Voorzieningen Wmo En Jeugdwet Inzien","","","<p>For (Who): inwoner die zijn toegekende Wmo- en Jeugdwet-voorzieningen wil inzien</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: inzage in actuele en historische voorzieningen met begrijpelijke productomschrijvingen</p><p>Our solution: gescheiden tabbladen Actueel en Historisch per domein met generieke productomschrijvingen uit het beheer</p><p>Success criteria:</p><ul><li>Per voorziening zijn omschrijving, zorgleverancier en looptijd zichtbaar</li><li>Actuele en historische voorzieningen zijn gescheiden raadpleegbaar met telling</li><li>Omschrijvingen zijn publieksvriendelijk</li></ul><p>In scope: inzage Wmo- en Jeugdwet-voorzieningen</p><p>Out of scope: mutatie van voorzieningen; aanvraag verloopt via Epic 7</p>","","","inwonerportaal; inzage; voorzieningen; epic-4","2","New","Verius","Verius",""
"Feature","","Wmo-voorzieningen","","<p>Geeft de inwoner inzage in zijn actuele en historische Wmo-voorzieningen zodat hij weet welke ondersteuning loopt en wat eerder is verstrekt. Omschrijvingen zijn de generieke productomschrijving uit het beheer (Epic 8).</p>","<ul><li>Per voorziening worden omschrijving, zorgleverancier, datum vanaf en datum t/m getoond</li><li>Tabblad Actueel toont het aantal lopende voorzieningen</li><li>Historische voorzieningen staan onder tabblad Historisch met telling</li><li>De getoonde omschrijving is de generieke productomschrijving</li><li>Bij geen voorzieningen wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; voorzieningen; epic-4; wmo","2","New","Verius","Verius",""
"User Story","","","S4.1.1: Actuele Wmo-voorzieningen inzien","<p>Als inwoner</p><p>Ik wil mijn actuele Wmo-voorzieningen inzien</p><p>Zodat ik weet welke ondersteuning loopt</p>","<ul><li>Per voorziening worden getoond: Omschrijving, Zorgleverancier, Datum vanaf, Datum t/m</li><li>Het tabblad Actueel toont het aantal lopende voorzieningen</li><li>Bij geen actuele voorzieningen wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; voorzieningen; epic-4; wmo","2","New","Verius","Verius",""
"User Story","","","S4.1.2: Historische Wmo-voorzieningen inzien","<p>Als inwoner</p><p>Ik wil mijn historische Wmo-voorzieningen inzien</p><p>Zodat ik eerdere ondersteuning kan terugzien</p>","<ul><li>Historische voorzieningen staan onder tabblad Historisch, met telling</li><li>De getoonde omschrijving is de generieke productomschrijving (zie Epic 8)</li><li>Bij geen historische voorzieningen wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; voorzieningen; epic-4; wmo","2","New","Verius","Verius",""
"Feature","","Jeugdwet-voorzieningen","","<p>Geeft de inwoner inzage in zijn actuele en historische Jeugdwet-voorzieningen zodat hij weet welke jeugdhulp loopt en wat eerder is verstrekt, met gescheiden tabbladen en telling.</p>","<ul><li>Per voorziening worden omschrijving, zorgleverancier, datum vanaf en datum t/m getoond</li><li>Tabblad Actueel toont het aantal lopende voorzieningen</li><li>Historische voorzieningen staan onder tabblad Historisch met telling</li><li>Bij geen voorzieningen wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; voorzieningen; epic-4; jeugdwet","2","New","Verius","Verius",""
"User Story","","","S4.2.1: Actuele Jeugdwet-voorzieningen inzien","<p>Als inwoner</p><p>Ik wil mijn actuele Jeugdwet-voorzieningen inzien</p><p>Zodat ik weet welke jeugdhulp loopt</p>","<ul><li>Per voorziening worden getoond: Omschrijving, Zorgleverancier, Datum vanaf, Datum t/m</li><li>Tabblad Actueel met telling</li><li>Bij geen actuele voorzieningen wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; voorzieningen; epic-4; jeugdwet","2","New","Verius","Verius",""
"User Story","","","S4.2.2: Historische Jeugdwet-voorzieningen inzien","<p>Als inwoner</p><p>Ik wil mijn historische Jeugdwet-voorzieningen inzien</p><p>Zodat ik eerdere jeugdhulp kan terugzien</p>","<ul><li>Historische voorzieningen onder tabblad Historisch, met telling</li><li>De telling toont het juiste aantal historische voorzieningen</li><li>Bij geen historische voorzieningen wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; voorzieningen; epic-4; jeugdwet","2","New","Verius","Verius",""
"Epic","Uitkeringen En Vorderingen Inzien","","","<p>For (Who): inwoner die zijn uitkeringen, specificaties en vorderingen wil inzien</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: inzage in actuele en historische uitkeringen, uitkeringsspecificaties en openstaande of teruggevorderde bedragen</p><p>Our solution: uitkeringenoverzicht met tabbladen, specificaties via Documenten en een vorderingenoverzicht (acceptatiecriteria O/K, besluit A2)</p><p>Success criteria:</p><ul><li>Per uitkering zijn soort, nummer en looptijd zichtbaar</li><li>Uitkeringsspecificaties zijn raadpleegbaar via Documenten</li><li>Vorderingen tonen omschrijving, bedrag, datum en gerelateerde zaak</li></ul><p>In scope: inzage uitkeringen, specificaties en vorderingen</p><p>Out of scope: mutatie of betaling van vorderingen</p>","","","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5","2","New","Verius","Verius",""
"Feature","","Uitkeringenoverzicht","","<p>Geeft de inwoner inzage in zijn actuele en historische uitkeringen zodat hij weet welke uitkeringen lopen en wat eerder is verstrekt, met gescheiden tabbladen en telling.</p>","<ul><li>Per uitkering worden soort, uitkeringsnummer, datum vanaf en datum t/m getoond</li><li>Tabblad Actueel toont het aantal lopende uitkeringen</li><li>Historische uitkeringen staan onder tabblad Historisch met telling</li><li>Bij geen uitkeringen wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5; uitkering","2","New","Verius","Verius",""
"User Story","","","S5.1.1: Actuele uitkering(en) inzien","<p>Als inwoner</p><p>Ik wil mijn actuele uitkering(en) inzien</p><p>Zodat ik weet welke uitkeringen lopen</p>","<ul><li>Per uitkering worden getoond: Soort uitkering, Uitkeringsnummer, Datum vanaf, Datum t/m</li><li>Tabblad Actueel met telling</li><li>Bij geen actuele uitkeringen wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5; uitkering","2","New","Verius","Verius",""
"User Story","","","S5.1.2: Historische uitkeringen inzien","<p>Als inwoner</p><p>Ik wil mijn historische uitkeringen inzien</p><p>Zodat ik mijn uitkeringshistorie kan raadplegen</p>","<ul><li>Historische uitkeringen onder tabblad Historisch, met telling</li><li>De telling toont het juiste aantal historische uitkeringen</li><li>Bij geen historische uitkeringen wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5; uitkering","2","New","Verius","Verius",""
